Trade_ID,Trade_Date,Settlement_Date,Amount_USD,Status,Settlement_Delay
TRD1070,2025-07-10,2025-07-13,26530.79,Failed,3
TRD1071,2025-07-11,2025-07-12,3662.56,Pending,1
TRD1072,2025-07-12,2025-07-15,10799.83,Settled,3
TRD1073,2025-07-13,2025-07-14,1907.57,Failed,1
TRD1074,2025-07-14,2025-07-16,39891.19,Settled,2
TRD1075,2025-07-15,2025-07-15,11972.31,Failed,0
TRD1076,2025-07-16,2025-07-16,17922.23,Failed,0
TRD1077,2025-07-17,2025-07-17,46475.98,Pending,0
TRD1078,2025-07-18,2025-07-18,35516.31,Settled,0
TRD1079,2025-07-19,2025-07-19,2560.11,Pending,0
TRD1080,2025-07-20,2025-07-21,9070.01,Settled,1
TRD1081,2025-07-21,2025-07-22,31452.44,Pending,1
TRD1082,2025-07-22,2025-07-22,29284.2,Settled,0
TRD1083,2025-07-23,2025-07-24,12656.75,Settled,1
TRD1084,2025-07-24,2025-07-25,46776.49,Settled,1
TRD1085,2025-07-25,2025-07-25,31084.33,Settled,0
TRD1086,2025-07-26,2025-07-27,27246.01,Failed,1
TRD1087,2025-07-27,2025-07-27,29905.59,Settled,0
TRD1088,2025-07-28,2025-07-29,36775.98,Settled,1
TRD1089,2025-07-29,2025-08-01,16285.3,Settled,3
TRD1090,2025-07-30,2025-07-31,20512.83,Settled,1
TRD1091,2025-07-31,2025-08-01,11282.34,Settled,1
TRD1092,2025-08-01,2025-08-01,10123.46,Pending,0
TRD1093,2025-08-02,2025-08-04,47274.25,Settled,2
TRD1094,2025-08-03,2025-08-03,37237.99,Settled,0
TRD1095,2025-08-04,2025-08-04,25032.48,Settled,0
TRD1096,2025-08-05,2025-08-06,12143.32,Settled,1
TRD1097,2025-08-06,2025-08-06,13463.47,Pending,0
TRD1098,2025-08-07,2025-08-09,3843.43,Failed,2
TRD1099,2025-08-08,2025-08-08,22286.41,Failed,0
